project_id,name,url,developer_name,main_office,construction_start_date,construction_end_date,price_from,district,floors,amenities,description,furnishing,service_charge,resale_conditions,unit_types,cover_image_url
2508,Radiant Garden Towers,https://find.reelly.io/projects/2508,Radiant Enterprises,"M Floor, Blook B, Al Sahel Towers, Al Bateen, Abu Dhabi, UAE",2025-03-17,2028-06-30,4123000,Abu Dhabi,2B + G + 2P + 22floors,"Gym, Swimming Pool, Sitting Areas","Project general facts Radiant Garden Towers is a striking architectural landmark located in the heart of Al Reem Island, Abu Dhabi. Surrounded by lush green parks and iconic city views, the project reflects a new vision of modern luxury, with cascading terraces, sculpted glass façades, and three beautifully elevated sky gardens. Designed with both elegance and innovation in mind, this development harmonizes sleek design with nature, offering residents a peaceful retreat in one of the city’s most connected and dynamic locations. Inside, the residences are defined by airy layouts, floor-to-ceiling windows, and a timeless palette of premium finishes. With 185 units thoughtfully spread across studios, junior and full one-bedroom apartments, duplexes, and spacious two- and three-bedroom homes, Radiant Garden Towers caters to diverse lifestyles with a focus on comfort, light, and sophistication. Each apartment is equipped with high-quality kitchen appliances, built-in wardrobes, and elegant interior detailing, making everyday living both seamless and refined. Life at Radiant Garden Towers is enriched by a curated range of amenities that encourage well-being, relaxation, and community. Residents can unwind in the state-of-the-art gym, take a dip in the serene swimming pool, or stroll through landscaped outdoor areas. The three signature sky gardens—spanning the first, ninth, and fourteenth floors—offer spaces for wellness, social connection, and tranquil escape, all elevated above the city. Radiant Garden Towers is not just a place to live—it’s a place to thrive. Finishing and materials Each residence is thoughtfully finished with premium flooring, high-quality bathroom fixtures, elegant door and window frames, and contemporary lighting solutions. Kitchen and appliances Equipped kitchens. Furnishing Semi-furnished apartments with built-in wardrobes. Location description and benefits Al Reem Island is a rapidly developing mixed-use district located northeast of Abu Dhabi, approximately 1,970 feet from the emirate’s mainland. It is situated near Saadiyat Island and Al Maryah Island, forming a vibrant cluster of urban development. The majority of residential complexes are positioned close to the sea and beaches, offering residents a resort-like lifestyle with easy access to the full range of city amenities. Al Reem Island boasts a comprehensive social and recreational infrastructure, including banks, commercial centers, lush parks, and sports facilities, making it a lively and convenient place to live. As one of Abu Dhabi’s first freehold zones, Al Reem Island attracted significant investment in real estate development. The architecture is predominantly modern, with the exception of a select villa community that reflects classic Moroccan and Spanish design styles.",semi_furnished,14 AED/sqft,10,Apartments,https://api.reelly.io/vault/ZZLvFZFt/Hw6qoM4e-SwaoC5U3xyOhXADPYU/KSvYnQ../30qgd_i8XqNnz3fnq5Pqa_sTLxL6EAS38tQyYboB_i4.jpg
2676,Solera Downtown Mina,https://find.reelly.io/projects/2676,RAK Properties,"G04, Building 08, Bay Square, Business Bay, Dubai, UAE",2025-06-16,2028-06-30,1227000,Mina Al Arab,"G + P + 18floors, G + P + 6floors, G + P +13floors","Skateboard Park, Kids Pool With Splash Pad, Jacuzzi, 40 M. Infinity Edge Lap Pool, Outdoor Gym & Yoga Pavilion, Co-Working Space","Project general facts Solera introduces a lifestyle where city energy hums quietly. Minutes from the shoreline but firmly rooted in downtown, it’s a destination for those who value the pulse of urban life - balanced by the ease of coastal access. Every line of Solera echoes the elegance of an era when design was thoughtful and understated. Light and shadow dance across its surface, not for spectacle, but for quiet refinement. Solera offers a different kind of city living - one where balance is found in thoughtful design, curated amenities, and proximity to both urban life and natural calm. It’s not a place to retreat from the city, but to embrace it on your own terms. Solera doesn’t call for attention, it holds it. Framed not by spectacle, but by stillness. It’s in the textures, the tones, the way space feels styled and lived. This is not a place that shouts. It’s a place that stays. Solera’s architecture stands firm, yet fluid. Undulating balconies echo the city’s energy - structured yet soft, creating patterns of light and shadow that shift with the day. Finishing and materials Modern finishing with high-quality materials. Kitchen and appliances Equipped kitchens. Furnishing Semi-furnished apartments. Location description and benefits Mina Al Arab is a waterfront community in Ras Al Khaimah. It is situated along the shoreline, surrounded by wetlands and beaches. This is a community for individuals who desire to live near the ocean. Mina Al Arab is an idyllic twin-island destination with a prime location, just off the coast of central Ras Al Khaimah. Mina Al Arab has been developed keeping in mind the natural surroundings, with a keen focus on preserving the natural wetlands and dunes that surround the community. The area attracts various marine life species which in turn attracts many tourists to the area. There are various trails within the community, which have been constructed for those who love hiking and biking through trails. The community is ideally located alongside Sheikh Muhammad Bin Salem Road. Appealing to aspirational travellers and residents alike, the two manmade islands, which are beautifully landscaped, feature a marina, waterfront cafés and boutiques, and even a running track, as well as high-end resorts and residences with a range of world-class facilities, from spas to restaurants.",semi_furnished,15 AED/sqft,30,"Apartments, Penthouse",https://api.reelly.io/vault/ZZLvFZFt/03QO7WH92BAu-MT7qJhifzheREQ/r8ZqFw../snapedit_1750054358061+1+%282%29+%281%29.png
2336,Sky Hills Astra,https://find.reelly.io/projects/2336,HRE Development,"Ground Floor, SkyHills, Umm Suqeim St, AL Barsha South, Dubai, UAE",2025-02-01,2027-12-31,1614500,Dubai Science Park,Towers: 4B + G + 2P + 36floors + R,"Padel Court, Fitness Center, Library, Outdoor Yoga Area, Indoor Yoga Area, Beach Sandy Pool, Sleek Pool, Recovery Room, Private Business Center, Kids’ Oasis, Sitting Area, Common Outdoor Area","Project general facts Sky Hills Astra is a visionary residential masterpiece in Dubai offering an exquisite selection of residences - including Studio, One-Bedroom with Study room, and also Two-Bedroom Duplexes apartments. Every home is a seamless blend of elegance, comfort, and modern sophistication. Rising gracefully from a three-level podium, its twin towers stand as a beacon of architectural brilliance, framing breathtaking skyline views. Beyond its beautifully designed homes, Sky Hills Astra presents an unparalleled lifestyle enriched with world-class amenities. A serene open-air wellness sanctuary invites residents to embrace mindfulness through yoga and meditation, while a dual-track running podium, cutting-edge fitness center, and professional padel court cater to an active lifestyle. The tranquil beach-style sandy pool offers a blissful escape, and the private business center with a library creates the perfect setting for productivity and reflection. In partnership with Dubai Cares, the project has pledged AED 30 million to global education initiatives, ensuring that every resident becomes a part of something greater. Eco-conscious innovation is at the heart of its design, with a ReGen irrigation system that repurposes greywater, smart energy solutions that minimize waste, and dedicated electric vehicle charging stations. More than just a place to live, Sky Hills Astra is a community with a bigger purpose—offering a future where luxury meets responsibility, eco-friendly living is a priority, and every home makes a positive impact. Finishing and materials Modern finishing with high-quality materials. Kitchen and appliances Fully equipped kitchens. Furnishing Fully furnished units. Location description and benefits Dubai Science Park is a dedicated hub designed to foster innovation in science, energy, and environmental sectors. Situated in Al Barsha South, this vibrant district supports more than 350 organizations with a modern infrastructure tailored to research and development. From biotechnology and healthcare to renewable energy, Dubai Science Park is a cornerstone of Dubai’s push towards a knowledge-based economy, offering cutting-edge facilities and fostering a collaborative environment for professionals in scientific fields. The area combines business excellence with residential convenience, providing modern housing options alongside essential amenities such as schools, fitness centers, and medical facilities. Located near Dubai Miracle Garden and with easy access to major highways, Dubai Science Park offers a well-connected and tranquil setting. Its strategic location and thoughtfully planned environment make it ideal for both families and professionals looking to balance work and personal life. Dubai Science Park places a strong emphasis on sustainability and innovation, aligning with Dubai’s vision of an eco-conscious future. Green spaces, pedestrian-friendly areas, and community-focused amenities enhance the quality of life, while state-of-the-art laboratories and commercial spaces create opportunities for scientific advancement. This unique blend of lifestyle and professional opportunities makes Dubai Science Park a thriving community for forward-thinking individuals and businesses.",yes,12-14 AED/sqft,30,Apartments,https://api.reelly.io/vault/ZZLvFZFt/1qRQti9Ztos4AjYv9Y7b3-Thbj8/abGEcw../sunrise_park.jpg
2019,Laguna Residence,https://find.reelly.io/projects/2019,One Development,"Plot 20, Villa 342-293, 18A St, Al Safa 2, Dubai, UAE",2024-12-31,2027-12-31,825000,City Of Arabia,G + 5P + 45floors,"Outdoor & Indoor Cinema, Indoor & Outdoor Gym, Yoga Zone & Aerobics Area, Mini Golf, Vertical Garden, Kids Pool, Co-Working Space, Viewing Deck With Lounge, Jogging Track & Bike Lane, Infinity Pool With Beach, Pilates Studio, Spa Centre, Surf And Slide, Bbq & Picnic Area, Indoor & Outdoor Kids Play Area, Multipurpose Courts, Vr Golf, Event Hall, Lounge & Library, Prayer Room","Project general facts Laguna Residence is a unique residential project that captures the essence of tranquility and recreation, centered around an impressive lagoon concept. Inspired by the refreshing vibe of waterfront living, Laguna Residence features the largest lagoon on a podium in the UAE, creating a serene oasis within the vibrant cityscape. The project combines natural beauty with modern amenities, offering residents a peaceful retreat that complements their elevated lifestyle while promoting relaxation, fun, and a connection to nature. The two striking towers, Tiffany and Cyan, embody the vision of Laguna Residence, each with a distinct character. Tiffany reflects sophistication and elegance, whereas Cyan, named after a cool shade of blue, mirrors the clarity and calm of lagoon waters. Together, they strike a perfect balance between modern architectural aesthetics and natural beauty, creating a harmonious environment that allows residents to enjoy both urban convenience and scenic tranquility. This thoughtful design emphasizes a blend of luxury and nature that is rare in city living. Laguna Residence also boasts innovative technology and top-tier amenities, setting a new standard in residential luxury. As the UAE’s first residential project to incorporate advanced AI integration, it provides personalized home automation and energy-efficient solutions, enhancing convenience and sustainability. With over 30 carefully curated amenities that span indoor and outdoor spaces, residents have access to a wealth of options for fitness, relaxation, and socializing. The project’s design philosophy emphasizes quality and adaptability, creating functional, aesthetically pleasing spaces tailored to contemporary lifestyles. Finishing and materials The interiors of the project showcase modern, high-quality finishes, featuring timber veneer accents, engineered stone, marble-look tile flooring, and a contrasting palette of dark and light tones for a refined, contemporary aesthetic. The project is equipped with a smart home system. Kitchen and appliances Equipped kitchen. Furnishing No. Location description and benefits City of Arabia is an ambitious mixed-use development in Dubailand, designed to be a self-contained city offering both residential and commercial attractions. It’s home to a range of high-rise residential towers, luxury villas, and townhouses, which together create a diverse and vibrant community. The area is planned with an emphasis on convenience, integrating retail, dining, and recreational spaces within walking distance, making it ideal for families and professionals seeking a dynamic lifestyle. At the heart of City of Arabia is the Mall of Arabia, envisioned to be one of the largest shopping malls in the region, drawing visitors from across Dubai and beyond. This massive retail hub is expected to feature an extensive selection of international brands, entertainment options, and dining venues. Nearby, the Restless Planet dinosaur theme park offers a unique attraction that combines education and entertainment, appealing to families and tourists alike. City of Arabia is also designed with green spaces and a modern transit system to enhance livability and sustainability. The area’s landscaping and water features, including canal systems, add natural beauty and tranquility to the urban environment. With plans for monorail connectivity to other parts of Dubai, City of Arabia is intended to provide seamless access while promoting an eco-friendly, pedestrian-friendly layout that complements Dubai’s vision of sustainable urban growth.",only_kitchen,15-16 AED/sqft,30,"Apartments, Duplex",https://api.reelly.io/vault/ZZLvFZFt/5tBp5IYxnpKX0FjjO4XoLd6attM/cKPdew../cover.jpg
1251,Evergreens,https://find.reelly.io/projects/1251,DAMAC,DAMAC Properties Dubai PJSC,2024-07-04,2026-12-31,1172000,Damac Hills 2,G + 7floors,"Swimming Pool, Outdoor Cinema, Water Park, Gym, Spa And Sauna, Kids Play Area, Bbq, Kids’ Swimming Pool ","Project general facts Embrace a world where each day is a celebration of elevated living and every moment is a brushstroke of beauty on life’s canvas, painted with lush greens and the warmth of the sun. Welcome to Evergreens by DAMAC Hills 2. Evergreens stands as a modern sanctuary, where sleek design meets serene living. With its crisp white facade reaching skyward, blending seamlessly with the tranquility of its natural surroundings, the tower perfectly embodies the elegance of simplicity. From the cozy allure of a one-bedroom to the broader horizons of a two-bedroom apartment, Evergreens offers a modern haven close to the city’s heartbeat. With your balcony as a private elevated natural space, immerse yourself in the allure of dawn’s first light or the serene glow of twilight. Whether you prefer your gym sessions and swims at sunrise or sunset, views of serene parklands are always there to uplift your lifestyle. Residents will have their movie experience elevated with an outdoor cinema, promising unforgettable days and nights with the stars. With a streamlined process and excellent affordability, Evergreens is perfect for both an investment and a first home. Designed for young professionals, this tower is ideal for those seeking comfort and convenience now and in the future. Look at life differently as you embrace the new, the exciting, and the adventurous. DAMAC Hills 2 creates countless experiences, ensuring luxurious fun-filled family living like never before. Finishing and materials Modern finishing with high-quality materials Kitchen and appliances Fully equipped, with kitchen appliances Furnishing No Location description and benefits Damac Hills 2 is a prestigious residential community located in the heart of Dubai. Nestled within lush green landscapes and offering a harmonious blend of luxury, comfort, and convenience, this development is a testament to modern urban living. Residents of Damac Hills 2 have access to a wealth of amenities, including world-class golf courses, fitness centers, swimming pools, and lush parks. The community is designed to provide a holistic living experience where leisure and well-being are paramount. Situated in close proximity to major road networks, Damac Hills 2 offers easy access to the city's key destinations, including business districts, shopping centers, and entertainment hubs. This central location enhances the overall convenience of living in this vibrant community.",no,14 AED/sqft,40,Apartments,https://api.reelly.io/vault/ZZLvFZFt/-jcUEKLIsdQzR28y2iCTDCwf5JY/9jgjaw../photo_2024-03-25_21-03-09.jpg
878,Quattro Del Mar,https://find.reelly.io/projects/878,RAK Properties,"G04, Building 08, Bay Square, Business Bay, Dubai, UAE",2024-04-22,2026-12-31,6692000,Mina Al Arab,"G + 2P +13floors , G + 2P + 9floors, G + 2P + 11floors, G + 2P + 10floors","Kids Play Area, The Social Lounge, Open Air Wellness, Mini Golf, Fitness Redefined, Clubhouse, Redefining Retail, Cinema Auditorium, Lagoon Beach Serenity And Yacht Beach Club, The Pet Park, Vr/Social Media Lounge, Pool Club, Spa Club, Yoga, Beach Club, Cafe","Project general facts Architecturally stunning, Quattro Del Mar stands as a testament to minimalist elegance. The development features four interconnected towers, each boasting a unique façade that mirrors the sparkling waters of the Arabian Gulf. From the chic one-bedroom apartments to the opulent three bedroom duplexs, each residence embodiesa symphony of sophistication and modern living. Here, panoramic windows not only frame the serene lagoon but also bring the vibrant island life right into your elegantly lit interiors, crafting a space where contemporary design meets timeless elegance. AI enhances the natural allure of Ras Al Khaimah’s seascape. This innovative approach merges the azure of the sea with the sky, creating a breath-taking interplay of nature and light, redefining the essence of luxury living with a touch of technological magic. Witness a skyline transformed by the architectural masterpiece, featuring interconnected towers and the iconic Sky Bridge. This AI-enhanced marvel doesn’t just connect buildings; it weaves together lush gardens and dynamic social spaces, creating a sky-high community. The design, with its elegant Champagne cladding and glass, mirrors the lagoon’s tranquility and the captivating sunsets, pro luxurious living experience. Quattro Del Mar is a tapestry of community spirit and connection. The Sky Bridge extends beyond an architectural wounder, becoming a communal link that fosters unity and interaction. The integrated podium is a cultural and leisure epicentre, blending high living with the natural splendor of Ras Al Khaimah. This is where lifestyle, art, and nature coalesce, crafted meticulously by RAK Properties to enrich life in every dimension. Finishing and materials Crafted for connoisseurs of the finer things in life, a sanctuary where tranquility meets refined elegance. These homes are not just living spaces; they are personal retreats of comfort and style, offering a perfect blend of size. Kitchen and appliances Equipped kitchen Furnishing No Location description and benefits Nestled along the picturesque coastline of Ras Al Khaimah, Hayat Islands boasts a stunning waterfront setting that's second to none. Residents here are treated to breathtaking views of the Arabian Gulf, with pristine beaches just steps away. The serene sound of lapping waves and the panoramic vistas create an atmosphere of tranquility and relaxation. The community is renowned for its world-class amenities and facilities. Residents can indulge in a range of leisure activities, from swimming in infinity pools that seem to merge with the sea to working out in state-of-the-art fitness centers. There are also dedicated spaces for relaxation, including lush parks and waterfront promenades, perfect for enjoying leisurely walks or picnics. Hayat Islands offers a vibrant culinary and entertainment scene. The waterfront promenade is dotted with cafes and restaurants serving a diverse array of cuisines, making it the perfect place for dining al fresco while enjoying the stunning views. Whether you're looking for a romantic dinner or a family-friendly outing, there's something for everyone.",no,15-18 AED/sqft,30,"Apartments, Duplex, Penthouse, Townhouse",https://api.reelly.io/vault/ZZLvFZFt/LKm7RrMBZjCbECNk6kTcQlbaVWY/0_lgaA../QDM_Ariel+view+Dusk.jpeg
2330,Esme Beach Residences,https://find.reelly.io/projects/2330,Elysian Developments,"Elysian Building, Umm al Sheif, Sheikh Zayed Road, Dubai, UAE",2025-01-01,2027-06-30,4700000,Dubai Islands,G + 2P + 12floors + R,"Indoor Gym & Fitness Studio, Cold Plunge & Rooftop Lap Pool, Rooftop Resident Lounge, Children'S Indoor Play Area, Children'S Outdoor Play Area, Family Pool With Cabanas, Gender Separated Contrast Therapy","Project general facts Esmé Beach Residences is a masterpiece of contemporary beachfront living, offering a stunning choice of one and two bedroom, two bedroom with maid's room and three bedroom apartments with private pools. Situated in the heart of Dubai Islands, this prestigious development blends tranquility with accessibility, providing a perfect sanctuary just minutes from Downtown Dubai. Each residence designed with spacious layouts, private terraces, and breathtaking panoramic sea views. The world-class amenities at Esmé Beach Residences redefine luxury and wellness, offering residents an unparalleled lifestyle. A state-of-the-art fitness center, rooftop lap pool, and wellness areas featuring saunas, cold plunges, and experience showers cater to both relaxation and revitalization. Families can enjoy the inviting pool with cabanas, a dedicated kids' pool, and engaging indoor and outdoor play areas for children. The exquisite five-star lobby, rooftop resident lounge, and direct beach access complete a setting that promotes social connection, leisure, and holistic well-being. Crafted with impeccable attention to detail, the interiors of Esmé Beach Residences radiate elegance and sophistication. Natural materials, rich wood accents, and travertine finishes create a harmonious living environment that echoes the beauty of the surrounding beach landscape. With unparalleled space, breathtaking views, and a lifestyle curated for well-being, Esmé Beach Residences stands as a testament to excellence in beachfront living. Finishing and materials Interior is dressed in a modern marble effect, gold detailing, and travertine. Natural materials recall the sparkle of sand, the effervescence of an ocean wave, the texture of a seashell. Natural stone and porcelain finishes. Neutral in tone and soft color palettes. Smart Home System. Kitchen and appliances Fully equipped kitchens with Miele appliances. Furnishing No. Location description and benefits Dubai Islands is a visionary development that epitomizes the luxurious and innovative spirit of Dubai. Strategically located along the coast, this ambitious project features a collection of five man-made islands designed to offer a blend of residential, commercial, and leisure spaces. Each island is meticulously planned to provide a unique living experience, surrounded by pristine beaches, lush landscapes, and crystal-clear waters. The islands are connected to the mainland via well-developed infrastructure, ensuring seamless access to the rest of the city. This prime location allows residents and visitors to enjoy the tranquility of island life while being just a short drive away from Dubai's bustling urban centers, including the iconic landmarks and vibrant districts such as Downtown Dubai, Dubai Marina, and Palm Jumeirah. The development includes a range of upscale amenities, including luxury hotels, gourmet dining options, high-end retail outlets, and world-class recreational facilities. Dubai Islands is designed to cater to a diverse array of lifestyles, offering everything from serene residential communities to dynamic entertainment hubs. The project emphasizes sustainability and innovation, incorporating green building practices and advanced technologies to create a harmonious and eco-friendly environment. With its stunning natural beauty, exceptional amenities, and strategic location, Dubai Islands stands as a premier destination for those seeking an unparalleled lifestyle in one of the world's most dynamic cities.",only_kitchen,18 AED/sqft,30,Apartments,https://api.reelly.io/vault/ZZLvFZFt/JPWbcxSN6jt4X9LbbLK6g9MNwfo/ZWh5gg../1.jpg
1859,Ethan,https://find.reelly.io/projects/1859,Griffin Real Estate Developer,"Office no.1004, Sobha Ivory 1 Building,
Amaal Street, Business Bay, Dubai, UAE ",2024-06-20,2026-09-30,1324230,Meydan (Nad Al Sheba  1),G + P + 6floors + R,"Adult & Kids Swimming Pool, Fitness Club, Outdoor Kids Area, Residents’ Lounge","Project general facts Ethan is a distinguished residential project by Griffin Real Estate Developer, exemplifying contemporary architectural excellence. This development features a range of elegant and modern residential units, designed with a focus on high-quality construction and refined aesthetics. The project aims to offer residents a comfortable and sophisticated living environment, characterized by its stylish design and attention to detail. The residential complex is strategically planned to provide a harmonious living experience, with well-considered layouts that cater to diverse lifestyle needs. Ethan reflects the developer's commitment to creating a high-standard residential community, combining architectural innovation with practical functionality. Finishing and materials Modern finishing with high-quality materials. Kitchen and appliances Equipped kitchen. Furnishing Fully furnished by Italy brand. Location description and benefits Nad Al Sheba is a prominent residential district known for its tranquil environment and well-planned community layout. Located in Dubai, this area offers a harmonious blend of modern living and serene surroundings. The neighborhood is characterized by its spacious villas and low-rise residential buildings, providing a more relaxed and family-friendly atmosphere compared to the bustling city center. The area is well-connected by major roadways, facilitating easy access to other parts of Dubai while maintaining a sense of seclusion. Nad Al Sheba is also recognized for its green spaces and recreational facilities, contributing to a high quality of life for its residents. Its strategic location ensures that while residents enjoy a peaceful lifestyle, they remain conveniently close to essential services and amenities.",yes,15-20 AED/sqft,30,Apartments,https://api.reelly.io/vault/ZZLvFZFt/nlsIFiOrqeaxdOtkG8hVLBGtP30/w23JXg../2.jpg
296,Marina Star,https://find.reelly.io/projects/296,Condor Group,"Plot No 365-0743, Al Quoz Industrial Area-II, Dubai, UAE",2009-09-15,2023-09-30,3328892,Dubai Marina,4B + G + 27floors,"Yoga Studio & Gym, Spa, Rooftop Swimming Pool","Project general facts Marina Star is a 25-storey residential building under development in Dubai Marina, Dubai. The modern expression of a timeless era. The Condor Marina Star Residences is a young & fresh take on a vibrant urban living. The Condor’s waterside location makes life in Dubai simple. Positioned in a rare Marina enclave with a nearby beach, yacht moorings, lively restaurants, global malls, and pop-up markets, all in a community-minded neighbourhood blended with the charisma of a truly international city. Finishing and materials Apartments at The Condor Marina Star Residences are designed with a unique floor plan that truly maximizes space. Explore the luxury of apartments, whether a Studio apartment, 1-bedroom apartment or a Penthouse, everybody will fulfill their needs. High quality materials Kitchen and appliances Kitchen + kitchen appliances + complete bathrooms. Furnishing Penthouses fully furnished with barbecue area. Location description and benefits The Condor Marina Star Residences offers easy access to all of Dubai’s business districts, beautiful beaches and luxurious shopping and dining destinations, including the 36,000 m2 Dubai Marina Mall with its 130 stores and fresco waterfront dining. All are accessible via foot, vehicle, and public transport links which can be found conveniently on your doorstep.",optional_furnished,20 AED/sqft,,"Apartments, Penthouse",https://api.reelly.io/vault/ZZLvFZFt/wMti95icvuwFgfKitaAMFtgYnVM/wEFPeQ../a4130fc2c8247b8de07ed03999105dc9d11a025b.jpeg
2667,Sierra by Iman,https://find.reelly.io/projects/2667,Iman Developers,"Office 403, Building 3, Hills Business Park, Dubai Hills, Dubai, UAE",2025-11-01,2029-03-31,909137,Dubai Motor City,B + G + 41floors,"Yoga Zone, Steam & Sauna, Clubhouse, Aqua Gardens, Bbq Area, Outdoor Kid’S Play Area, Fitness Centre, Indoor Kid’S Play Area, Swimming Pool & Sports Facilities","Project general facts Sierra by Iman is a remarkable residential project nestled in the heart of vibrant Motor City. It offers a wide selection of thoughtfully designed units, including Studios, 1-bedroom, 1.5-bedroom, 2-bedroom, 2.5-bedroom, and luxurious 4-bedroom duplexes with private pools. Every home is crafted with refined finishes and an exceptional eye for detail, blending elegance with comfort. At the center of Sierra by Iman’s appeal is a spectacular wellness and amenity deck. Residents can enjoy peaceful gardens, relaxing wellness retreats, and a wide range of family-friendly leisure spaces. Fitness enthusiasts will appreciate the dynamic zones designed to energize and inspire. Beyond the interiors and outdoor features, Sierra by Iman reflects Iman Developers’ vision of harmonized living - where indulgence meets intention. Its location in Motor City provides excellent access to major destinations, while still offering a calm and green atmosphere. This project sets a new standard for elevated urban living, tailored to those who appreciate both luxury and lifestyle. Finishing and materials Modern finishing with high-quality materials. Kitchen and appliances Equipped kitchens. Furnishing No. Location description and benefits Motor City in Dubai is a unique and lively community that combines the essence of urban living with a captivating theme centered around the world of motorsports and automobiles. Nestled in the heart of Dubai, this community is an embodiment of modernity, innovation, and passion for all things automotive. The streets of Motor City are adorned with a distinct charm, echoing the revving of engines and the excitement of racing. As you wander through this neighborhood, you'll notice the architectural design and layout that pays homage to the theme, with road names reminiscent of famous race tracks and automotive legends. It's a place where enthusiasts and families alike come together, united by their shared love for everything related to cars and motorsports. Motor City's commitment to green spaces and landscaping is evident in its beautifully manicured parks and lush gardens. These serene areas provide a welcome escape from the exhilarating atmosphere of the community, offering a peaceful retreat for residents to unwind, exercise, or simply enjoy the outdoors.",no,17-19 AED/sqft,30,Apartments,https://api.reelly.io/vault/ZZLvFZFt/9mFLUNEYLrhj4tYKQBJC1brqfNs/3YAoYA../12.jpg
3209,Bayview Boulevard,https://find.reelly.io/projects/3209,AB Developers,"Smart Heights, Al Barsha, Office 907",2023-07-26,2027-03-31,2139632,Dubai Islands,G + 2P + 12floors,"Gym, Infinity Pool, Jogging  Track, Kids Play Area &  Kids’ Splash Pool, Skate Park, Dog Park, Rooftop Lounge","Project general facts Bayview Boulevard is an elegant waterfront residential development that embodies refined coastal living in one of Dubai’s most dynamic seaside destinations. Designed with a sleek modern architectural language inspired by nautical elements, the project features fluid horizontal lines, layered façades, and spacious balconies that enhance both aesthetics and functionality. Its prime location offers seamless connectivity to Dubai Islands Beach, Downtown Dubai, Dubai Mall, and Dubai International Airport, placing residents close to the city’s key landmarks while enjoying a serene waterfront atmosphere. The project delivers a true resort-style lifestyle through a thoughtfully curated collection of amenities designed for relaxation, wellness, and everyday convenience. Residents can unwind at the infinity pool and rooftop lounge, stay active in the fully equipped gym and jogging track, or enjoy dedicated spaces such as the business centre, BBQ areas, skate park, dog park, and children’s play areas, including a kids’ splash pool. Landscaped communal areas and lifestyle facilities transform daily living into a vibrant yet tranquil experience, where leisure and connectivity are seamlessly balanced. Bayview Boulevard offers exquisitely designed apartments with sophisticated interiors and high-quality finishes, reflecting a warm mid-century modern aesthetic with earthy tones and refined materials such as travertine accents. Residences range from spacious one- to three-bedroom layouts, many featuring private balconies, terraces, and select units with plunge pools, providing stunning boulevard and water views. Each home is crafted to maximize comfort, light, and functionality, setting a new benchmark for luxury beachfront living in Dubai. Location description and benefits Dubai Islands is a visionary development that epitomizes the luxurious and innovative spirit of Dubai. Strategically located along the coast, this ambitious project features a collection of five man-made islands designed to offer a blend of residential, commercial, and leisure spaces. Each island is meticulously planned to provide a unique living experience, surrounded by pristine beaches, lush landscapes, and crystal-clear waters. The islands are connected to the mainland via well-developed infrastructure, ensuring seamless access to the rest of the city. This prime location allows residents and visitors to enjoy the tranquility of island life while being just a short drive away from Dubai's bustling urban centers, including the iconic landmarks and vibrant districts such as Downtown Dubai, Dubai Marina, and Palm Jumeirah. The development includes a range of upscale amenities, including luxury hotels, gourmet dining options, high-end retail outlets, and world-class recreational facilities. Dubai Islands is designed to cater to a diverse array of lifestyles, offering everything from serene residential communities to dynamic entertainment hubs. The project emphasizes sustainability and innovation, incorporating green building practices and advanced technologies to create a harmonious and eco-friendly environment. With its stunning natural beauty, exceptional amenities, and strategic location, Dubai Islands stands as a premier destination for those seeking an unparalleled lifestyle in one of the world's most dynamic cities.",only_kitchen,18 AED/sqft,40,Apartments,https://reelly-backend.s3.amazonaws.com/projects/3209/images/dba7f563ea914037bd3aeb7cc252af6b.webp
